trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN2052F107036:2021-01-05T18:51:58Z,17:08:00,17:08:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2052F107036:2021-01-05T18:51:58Z,19:05:00,19:05:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2060F106740:2021-01-05T18:51:58Z,18:55:00,18:55:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2060F106740:2021-01-05T18:51:58Z,20:52:00,20:52:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2061F110898:2021-01-04T18:51:47Z,16:58:00,16:58:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2061F110898:2021-01-04T18:51:47Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2062F131507:2021-01-04T18:51:47Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2062F131507:2021-01-04T18:51:47Z,18:41:00,18:44:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2062F131507:2021-01-04T18:51:47Z,19:24:00,19:24:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2077F107327:2020-12-31T18:53:22Z,18:43:00,18:43:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2077F107327:2020-12-31T18:53:22Z,20:41:00,20:41:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2088F107020:2020-12-24T18:54:01Z,10:19:00,10:19:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2088F107020:2020-12-24T18:54:01Z,12:24:00,12:24:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2088F116708:2021-01-05T18:51:58Z,10:19:00,10:19:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2088F116708:2021-01-05T18:51:58Z,12:15:00,12:15:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2091F107017:2020-12-31T18:53:22Z,14:45:00,14:45:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2091F107017:2020-12-31T18:53:22Z,16:41:00,16:41:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2223F111353:2021-01-04T18:51:47Z,20:40:00,20:40:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2223F111353:2021-01-04T18:51:47Z,22:08:00,22:08:00,StopPoint:OCETGV INOUI-87192039,1,,1,0,
OCESN2223F133175:2020-12-09T14:36:18Z,19:40:00,19:40:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2223F133175:2020-12-09T14:36:18Z,21:04:00,21:04:00,StopPoint:OCETGV INOUI-87192039,1,,1,0,
OCESN2234F108261:2020-12-08T16:10:46Z,18:11:00,18:11:00,StopPoint:OCETGV INOUI-87141002,0,,0,1,
OCESN2234F108261:2020-12-08T16:10:46Z,18:45:00,18:48:00,StopPoint:OCETGV INOUI-87147322,1,,0,0,
OCESN2234F108261:2020-12-08T16:10:46Z,19:50:00,19:50:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2249F138887:2020-12-31T18:53:22Z,19:13:00,19:13:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2249F138887:2020-12-31T18:53:22Z,20:44:00,20:44:00,StopPoint:OCETGV INOUI-87141002,1,,1,0,
OCESN2253F137951:2021-01-03T18:52:14Z,18:28:00,18:28:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2253F137951:2021-01-03T18:52:14Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87171009,1,,1,0,
OCESN2255F132010:2021-01-04T18:51:47Z,18:28:00,18:28:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2255F132010:2021-01-04T18:51:47Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87171009,1,,1,0,
OCESN2260F131460:2021-01-04T18:51:47Z,14:15:00,14:15:00,StopPoint:OCETGV INOUI-87171009,0,,0,1,
OCESN2260F131460:2021-01-04T18:51:47Z,15:01:00,15:01:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2262F133879:2020-12-31T18:53:22Z,17:15:00,17:15:00,StopPoint:OCETGV INOUI-87171009,0,,0,1,
OCESN2262F133879:2020-12-31T18:53:22Z,18:01:00,18:01:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2350F111379:2021-01-05T18:51:58Z,06:16:00,06:16:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2350F111379:2021-01-05T18:51:58Z,06:26:00,06:29:00,StopPoint:OCETGV INOUI-87214056,1,,0,0,
OCESN2350F111379:2021-01-05T18:51:58Z,06:50:00,06:59:00,StopPoint:OCETGV INOUI-87212027,2,,0,0,
OCESN2350F111379:2021-01-05T18:51:58Z,09:05:00,09:05:00,StopPoint:OCETGV INOUI-87113001,3,,1,0,
OCESN2352F107378:2020-12-31T18:53:22Z,07:37:00,07:37:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2352F107378:2020-12-31T18:53:22Z,07:47:00,07:50:00,StopPoint:OCETGV INOUI-87214056,1,,0,0,
OCESN2352F107378:2020-12-31T18:53:22Z,08:09:00,08:19:00,StopPoint:OCETGV INOUI-87212027,2,,0,0,
OCESN2352F107378:2020-12-31T18:53:22Z,10:16:00,10:16:00,StopPoint:OCETGV INOUI-87113001,3,,1,0,
OCESN2356F107199:2021-01-04T18:51:47Z,10:02:00,10:02:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2356F107199:2021-01-04T18:51:47Z,10:31:00,10:43:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2356F107199:2021-01-04T18:51:47Z,12:38:00,12:38:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2356F111318:2020-12-22T18:53:37Z,09:57:00,09:57:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2356F111318:2020-12-22T18:53:37Z,10:31:00,10:43:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2356F111318:2020-12-22T18:53:37Z,12:38:00,12:38:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2362F129438:2021-01-04T18:51:47Z,16:44:00,16:44:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2362F129438:2021-01-04T18:51:47Z,17:13:00,17:17:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2362F129438:2021-01-04T18:51:47Z,18:41:00,18:44:00,StopPoint:OCETGV INOUI-87171926,2,,0,0,
OCESN2362F129438:2021-01-04T18:51:47Z,19:24:00,19:24:00,StopPoint:OCETGV INOUI-87113001,3,,1,0,
OCESN2363F108153:2021-01-04T18:51:47Z,07:08:00,07:08:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2363F108153:2021-01-04T18:51:47Z,09:06:00,09:16:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2363F108153:2021-01-04T18:51:47Z,09:42:00,09:42:00,StopPoint:OCETGV INOUI-87182014,2,,1,0,
OCESN2364F106693:2020-12-24T18:54:01Z,17:57:00,17:57:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2364F106693:2020-12-24T18:54:01Z,18:29:00,18:35:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2364F106693:2020-12-24T18:54:01Z,20:40:00,20:40:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2364F108958:2020-12-31T18:53:22Z,17:45:00,17:45:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2364F108958:2020-12-31T18:53:22Z,18:13:00,18:19:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2364F108958:2020-12-31T18:53:22Z,20:15:00,20:15:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2369F148682:2021-01-04T18:51:47Z,13:36:00,13:36:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2369F148682:2021-01-04T18:51:47Z,15:41:00,15:56:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2369F148682:2021-01-04T18:51:47Z,16:26:00,16:26:00,StopPoint:OCETGV INOUI-87182014,2,,1,0,
OCESN2371F106688:2020-12-31T18:53:22Z,14:45:00,14:45:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2371F106688:2020-12-31T18:53:22Z,16:41:00,16:46:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2371F106688:2020-12-31T18:53:22Z,17:12:00,17:12:00,StopPoint:OCETGV INOUI-87182014,2,,1,0,
OCESN2377F110789:2021-01-03T18:52:14Z,18:43:00,18:43:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2377F110789:2021-01-03T18:52:14Z,20:41:00,20:46:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2377F110789:2021-01-03T18:52:14Z,21:04:00,21:07:00,StopPoint:OCETGV INOUI-87214056,2,,0,0,
OCESN2377F110789:2021-01-03T18:52:14Z,21:18:00,21:18:00,StopPoint:OCETGV INOUI-87182014,3,,1,0,
OCESN2377F111113:2021-01-05T18:51:58Z,18:54:00,18:54:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2377F111113:2021-01-05T18:51:58Z,21:03:00,21:10:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
